record_id,type,type_english
MPI_S222,running outdoor and physical exercise indoor,running outdoor and indoor physical exercise
MPI_S222,push up,push up
MPI_S223,NA,NA
MPI_S223,I danced,I danced
MPI_S223,Dancing,Dancing
MPI_S223,Walking,Walking
MPI_S223,Walking in the park,Walking in the park
MPI_S224,"Walking, fairly fast speed. uphill parts of it","Walking, fairly fast speed, includes uphill sections"
MPI_S224,45,NA
MPI_S224,home workout (bodyweight and resistance bands),home workout (bodyweight and resistance bands)
MPI_S224,walking,walking
MPI_S224,bodyweight exercises and resistance band exercises,bodyweight exercises and resistance band exercises
MPI_S225,Cycling to drop my children off at school and run errands,Cycling to drop my children off at school and run errands
MPI_S225,Walking on campus and also walking outside at night to take my kids trick or treating,Walking on campus and walking outside at night (trick or treating with children)
MPI_S225,Stretching/yoga for 30 mins,Stretching/yoga for 30 mins
MPI_S225,Low key stretching/yoga in the afternoon for a break,Light stretching or yoga exercises in the afternoon for a break
MPI_S225,Walking around campus today and stretching/yoga at home,Walking around campus and stretching/yoga at home
MPI_S225,Walking in the city and surrounding nature,Walking in the city and surrounding nature
MPI_S225,Went for a 4km run today outside,Went for a 4km run today outside
MPI_S226,Walking and carrying bags,Walking and carrying bags
MPI_S226,Walking,Walking
MPI_S226,NA,NA
MPI_S226,Running to get into the train (and still losing it),Running to get into the train (and still losing it)
MPI_S226,Walking fast,Walking fast
MPI_S227,Just walked for 20 min,Just walked for 20 min
MPI_S227,NA,NA
MPI_S227,I was dancing,I was dancing
MPI_S227,Dancing,Dancing
MPI_S228,Walking to and back from work,Walking to and back from work
MPI_S228,Kungfu,Kung Fu
MPI_S228,walk to work,walk to work
MPI_S228,kungfu,kung fu
MPI_S228,Walking,Walking
MPI_S229,NA,NA
MPI_S229,Walking/stroll,Walking/stroll
MPI_S229,Walking/taking a stroll,Walking/taking a stroll
MPI_S229,Handball,Handball
MPI_S229,Walking/Taking a stroll,Walking/Taking a stroll
MPI_S230,Gym/calisthenics,Gym/calisthenics
MPI_S230,running,running
MPI_S230,Football,Football
MPI_S230,"Gym, cycling","Gym, cycling"
MPI_S230,"running, bouldering","running, bouldering"
MPI_S230,sanding furniture,sanding furniture
MPI_S230,NA,NA
MPI_S231,Cycling from main library uphill to cybernum,Cycling from main library uphill to cybernum
MPI_S231,Contact sports,Contact sports
MPI_S231,Cycling,Cycling
